"ten_quan","dia_chi","so_dien_thoai","rating","gio_mo_cua","lat","lon","gia_trung_binh","thuc_don","hinh_anh","data_id","khau_vi"
"Ulà Ngon - Trà Sữa Hạt Nông Sản, Matcha, Cafe Phin - Delivery Hub - NTMK, Q1","7/9B Nguyễn Thị Minh Khai, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam","+84 949 603 903","4.8","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7873732","106.7029534","","images/16.1.png;images/16.2.png","images/16.png","0x31752f729cc60d27:0x39b69bf142f13ade","ngọt, đắng"
"Trà Sữa Kubin","35 Nguyễn Phúc Nguyên, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","+84 986 019 710","4.1","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7786219","106.6810705","1-100.000 ₫","images/17.1.png;images/17.2.png","images/17.png","0x31752f261a000393:0x1f286942fddde726","ngọt, đắng"
"Trà Sữa Fly Chicken","78 Đ. Số 4, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","+84 984 711 718","4.4","Đang mở cửa ⋅ Đóng cửa lúc 21:30","10.7721504","106.6823217","1-100.000 ₫","images/18.1.png;images/18.2.png","images/18.png","0x31752f2300000001:0xccc826ef64220ae5","ngọt, đắng"
"Teabreak trà sữa olong đậm vị","202cô bắc p, Quận 1, Thành phố Hồ Chí Minh 71000, Việt Nam","+84 703 544 330","5.0","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.764001","106.693543","","images/19.1.png;images/19.2.png","images/19.png","0x31752f003e33752d:0x4f169fcdec41d087","ngọt, đắng"
"Boom - Cà phê & Trà sữa","14B9 Mặt tiền, Ngô Tất Tố, Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","+84 702 775 511","4.2","Đang mở cửa ⋅ Đóng cửa lúc 23:00","10.7930602","106.7101455","1-100.000 ₫","images/20.1.png;images/20.2.png","images/20.png","0x317528d95047d271:0x4c4d8a91daed3496","ngọt, đắng"
"Cà Phê - Trà Sữa Chicago","7-9 Nguyễn Bỉnh Khiêm, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","+84 28 6887 7477","4.9","Sắp đóng cửa ⋅ 20:30 ⋅ Mở lúc 7:00 Th 5","10.7855553","106.7062103","","images/21.1.png;images/21.2.png","images/21.png","0x31752f4c7a351375:0x83b7c2ab5614f296","ngọt, đắng"
"Trà sữa Bobapop","295 Đ. Lê Văn Sỹ, Phường 12, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","+84 28 6290 4151","4.0","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7872023","106.6787726","$$","images/22.1.png;images/22.2.png","images/22.png","0x31752f2a5682fcd1:0x938db0d4762cdca6","ngọt, đắng"
"Tiệm Trà sữa và cafe Hi Tea","1 Trương Quốc Dung, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh 07000, Việt Nam","+84 936 999 735","4.3","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7991206","106.6730217","","images/23.1.png;images/23.2.png","images/23.png","0x317529296f1876a5:0x20882dd1770400fd","ngọt, đắng"
"Trà Sữa Bé Xì","54/59 Vũ Huy Tấn, Phường 1, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","+84 938 558 124","4.7","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7980694","106.6948809","","images/24.1.png;images/24.2.png","images/24.png","0x317529b1fdb0883f:0x6b2cb8a79f5ae9b1","ngọt, đắng"
"Cha Cha Rang Milktea & Fruittea| Trà Sữa Đài Loan Quận 10","163 Đ. 3 Tháng 2, Phường 10, Quận 10, Thành phố Hồ Chí Minh, Việt Nam","+84 907 999 004","4.8","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7724435","106.6759217","","images/25.1.png;images/25.2.png","images/25.png","0x31752fa1929d964b:0xb2d1d75cfb519046","ngọt, đắng"
"Tiệm Trà Sữa Trân Châu","386/35 Đ. Lê Văn Sỹ, Phường 14, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","+84 982 575 892","4.4","Đang mở cửa ⋅ Đóng cửa lúc 22:30","10.7893354","106.6772347","","images/26.1.png;images/26.2.png","images/26.png","0x31752f2abc349e5d:0xb18b1b9b1d340526","ngọt, đắng"
"Trà Sữa ToCoToCo Ngô Thời Nhiệm","87 Ngô Thời Nhiệm, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 28 3930 3328","3.8","Đang mở cửa ⋅ Đóng cửa lúc 23:00","10.7759597","106.68545","$$","images/27.1.png;images/27.2.png","images/27.png","0x31752f24fc2bf92f:0x4a0c4dcf5b8ab522","ngọt, đắng"
"Trà Sữa Vợ Nấu","984 Trường Sa, Phường 12, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","+84 978 123 951","4.7","Mở cả ngày","10.7870762","106.6746144","","images/28.1.png;images/28.2.png","images/28.png","0x31752f8f032a8a69:0x170a22e72c898544","ngọt, đắng"
"Trà sữa 126","126 Xô Viết Nghệ Tĩnh, Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","+84 901 258 919","4.8","Đang mở cửa ⋅ Đóng cửa lúc 23:30","10.7963277","106.710434","","images/29.1.png;images/29.2.png","images/29.png","0x317529a29c17dbb7:0xd49971b9a4b1eecc","ngọt, đắng"
"Hem Tea & Milktea","490 Đ. Lê Văn Sỹ, Phường 14, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","+84 901 095 679","4.6","Đang mở cửa ⋅ Đóng cửa lúc 2:00","10.7895411","106.6751322","$","images/30.1.png;images/30.2.png","images/30.png","0x31752ed546adf2c1:0x7db45f10ee6652a","không xác định"
"Trà Sữa Rồng","26/24 Trương Định, P, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","+84 909 949 289","4.9","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7719557","106.6963836","","images/31.1.png;images/31.2.png","images/31.png","0x31752b320f15e6ff:0x5d5d36b9eb101a71","ngọt, đắng"
"Trà sữa Tùng Bản松本奶茶","47 Đường Nguyễn Thượng Hiền, Phường 5, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","+84 765 157 018","4.8","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7711712","106.6857975","","images/32.1.png;images/32.2.png","images/32.png","0x31752f0052644393:0x42a7ed11e5312282","ngọt, đắng"
"Trà Sữa Bobapop CN Trần Hưng Đạo","7 Trần Hưng Đạo, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","+84 28 3821 0288","3.8","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.769911","106.697447","$$","images/33.1.png;images/33.2.png;images/33.3.png","images/33.png","0x31752f3fa92c54bf:0x86d0a89155f70db0","ngọt, đắng"
"Trà sữa Laxy - Vạn Kiếp","167a Đ. Vạn Kiếp, phường 03, Bình Thạnh, Thành phố Hồ Chí Minh 70000, Việt Nam","+84 799 829 189","4.6","Đang mở cửa ⋅ Đóng cửa lúc 0:00","10.7975997","106.6938287","","images/34.1.png;images/34.2.png","images/34.png","0x317529ec146277af:0x9be8e2e2910ad5f9","ngọt, đắng"
"Ulà Ngon - Trà Sữa Hạt Nông Sản, Matcha, Cafe Phin - Delivery Hub - Q3","339/18A1 Đ. Lê Văn Sỹ, Phường 12, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 949 603 903","4.6","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.786914","106.676973","","images/35.1.png;images/35.2.png","images/35.png","0x31752fbfa269b859:0x180f1380d14d7cf9","ngọt, đắng"
"Trà Sữa GOLBIN","7 Nguyễn Cửu Vân, Phường 17, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","+84 772 327 118","4.9","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7953811","106.7071007","","images/36.1.png;images/36.2.png","images/36.png","0x3175291ed1bbb227:0x200f727980e04441","ngọt, đắng"
"Mobeya - Trà Sữa Ít Béo Từ Hạt","17A Đinh Tiên Hoàng, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 777 662 112","4.7","Đang mở cửa ⋅ Đóng cửa lúc 21:45","10.7886487","106.6992383","","images/37.1.png;images/37.2.png","images/37.png","0x3175297e283d7159:0x4d24f5865737df01","ngọt, đắng"
"Trà sữa Miss Kim","15 Nguyễn Hữu Cầu, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","+84 936 193 444","5.0","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7898172","106.6912865","","images/38.1.png;images/38.2.png","images/38.png","0x31752989dc36e0b9:0x4d44b0579ae05256","ngọt, đắng"
"Trà Sữa ToCoToCo Điện Biên Phủ","302 Điện Biên Phủ, Phường 17, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","+84 1900 636936","3.3","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7994417","106.7070729","$$","images/39.1.png;images/39.2.png;images/39.3.png","images/39.png","0x31752960ae97a463:0xa4ff3cc4fd49b941","ngọt, đắng"
"Trà Sữa Phượng Hoàng","317B Nguyễn Tri Phương, Phường 8, Quận 10, Thành phố Hồ Chí Minh, Việt Nam","+84 378 999 731","4.3","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7619062","106.6682335","$","images/40.1.png;images/40.2.png;images/40.3.png","images/40.png","0x31752ee44664537f:0x537a0aaf58bfed42","ngọt, đắng"
"Trà Sữa Băng Thành - Trà Sữa Đài Loan Quận 5 ( chú ý đường 1 chiều )","118 Trần Hưng Đạo, Phường 7, Quận 5, Thành phố Hồ Chí Minh, Việt Nam","+84 908 696 506","4.7","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7528273","106.669277","1-100.000 ₫","images/41.1.png;images/41.2.png;images/41.3.png","images/41.png","0x31752f0f30696a1f:0xc75618d7dee0e36","ngọt, đắng"
"Trà Sữa LasBunny","515A Nguyễn Tri Phương, Phường 8, Quận 10, Thành phố Hồ Chí Minh 72500, Việt Nam","+84 936 281 688","4.9","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7658529","106.6672815","","images/42.1.png;images/42.2.png","images/42.png","0x31752f005c6927c5:0xc3a43924f6b39638","ngọt, đắng"
"Trà sữa Pí","205 Lý Thái Tổ, Phường 9, Quận 10, Thành phố Hồ Chí Minh, Việt Nam","+84 903 673 461","4.9","Đang mở cửa ⋅ Đóng cửa lúc 22:30","10.7675805","106.6730106","","images/43.1.png;images/43.2.png;images/43.3.png","images/43.png","0x31752f004b8e70dd:0xec2552e1d727d7f7","ngọt, đắng"
"Trà Sữa ToCoToCo Trần Hưng Đạo","1087 Trần Hưng Đạo, Phường 5, Quận 5, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 1900 636936","4.2","Đang mở cửa ⋅ Đóng cửa lúc 22:30","10.7533139","106.6740589","1-100.000 ₫","images/44.1.png;images/44.2.png","images/44.png","0x31752fb1fa7e362f:0x789a1ca9fd71b99","ngọt, đắng"
"Tiệm Trà Sữa ChesseBall","32 Đ. Phạm Hùng, P.10, Quận 8, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 932 003 633","4.9","Đang mở cửa ⋅ Đóng cửa lúc 0:30","10.7469336","106.6688665","","images/45.1.png;images/45.2.png","images/45.png","0x31752f004902ede9:0x4886d78718fca545","ngọt, đắng"
"CHÚ BONG BÓNG - TRÀ SỮA ĐÀI LOAN | Trà sữa ngon Bình Thới | Chú Bong Bóng - CN Bình Thới","156 Đ. Bình Thới, Phường 14, Quận 11, Thành phố Hồ Chí Minh 70000, Việt Nam","+84 708 807 988","5.0","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7669541","106.6487278","","images/46.1.png;images/46.2.png","images/46.png","0x31752f0033c658e3:0x9c8088fbe45ada9b","ngọt, đắng"
"Trà sữa Panda","25 Tân Thành, Phường 12, Quận 5, Thành phố Hồ Chí Minh, Việt Nam","+84 909 802 393","4.7","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7563007","106.6579236","","","images/47.png","0x31752ef22c4e486f:0x3ad0c87430919b1f","ngọt, đắng"
"Tiệm Trà Sữa Băng Thành","352 Đ. Nguyễn Duy Dương, Phường 9, Quận 10, Thành phố Hồ Chí Minh, Việt Nam","+84 788 571 185","4.7","Đã đóng cửa ⋅ Mở lúc 10:00 Th 5","10.7649715","106.670164","1-100.000 ₫","images/48.1.png;images/48.2.png","images/48.png","0x31752ee6ca174a23:0x2acdb5fe98e69992","ngọt, đắng"
"Trà Sữa TocoToco Nguyễn Tri Phương","306 Nguyễn Tri Phương, Phường 4, Quận 10, Thành phố Hồ Chí Minh 700000, Việt Nam","","3.7","Đang mở cửa ⋅ Đóng cửa lúc 22:30","10.7628132","106.6684199","1-100.000 ₫","images/49.1.png;images/49.2.png","images/49.png","0x31752ee43a5da9b3:0x1f7a2cd8b0f133dd","ngọt, đắng"
"Trà sữa Bòn Bon","529 Đ. Minh Phụng, Phường 10, Quận 11, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 932 160 580","4.3","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.762487","106.6444889","","images/50.1.png;images/50.2.png","images/50.png","0x31752e91064420ad:0x5eb6ceb9d92fd305","ngọt, đắng"
"Trà sữa 10","19 Nguyễn Kim, Phường 12, Quận 5, Thành phố Hồ Chí Minh, Việt Nam","+84 906 869 714","4.1","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7571232","106.6629414","1-100.000 ₫","images/51.1.png;images/51.2.png","images/51.png","0x31752ef03ff8217d:0xb0e4b315802d78eb","ngọt, đắng"
"Trà sữa Cộng Đồng","34 Đ. Hậu Giang, Phường 2, Quận 6, Thành phố Hồ Chí Minh, Việt Nam","+84 392 345 168","4.0","Đang mở cửa ⋅ Đóng cửa lúc 23:30","10.7497728","106.6479925","1-100.000 ₫","images/52.1.png;images/52.2.png;images/52.3.png","images/52.png","0x31752f297c6811e5:0x29395956178b8829","ngọt, đắng"
"Tiệm Trà Sữa Tiên Hưởng","789 Trần Hưng Đạo, Phường 1, Quận 5, Thành phố Hồ Chí Minh, Việt Nam","+84 28 6650 3534","4.0","Đang mở cửa ⋅ Đóng cửa lúc 22:00","10.7552168","106.6812756","$$","images/53.1.png;images/53.2.png;images/53.3.png","images/53.png","0x31752f04c1400323:0xbffa274b6075ea66","ngọt, đắng"
"Yegu Coffee & Tea","lô S/015 Trần Nhân Tôn, Phường 2, Quận 10, Thành phố Hồ Chí Minh, Việt Nam","+84 968 989 409","5.0","Đang mở cửa ⋅ Đóng cửa lúc 23:00","10.7623269","106.6747432","","images/54.1.png;images/54.2.png","images/54.png","0x31752f9595dddfb9:0xa937c511f50db964","không xác định"
"Trà Sữa Thèm - Nguyễn Tri Phương","Nguyễn Tri Phương, Phường 8, Quận 10, Thành phố Hồ Chí Minh, Việt Nam","+84 931 854 566","4.9","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7671209","106.6669469","","images/55.1.png","images/55.png","0x31752f93db32252d:0x47d022212f716a88","ngọt, đắng"
"TRÀ SỮA TOPHE CN2","436 Đ. Phan Văn Trị, Phường 7, Quận 5, Thành phố Hồ Chí Minh 700000, Việt Nam","","5.0","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7552328","106.6760553","","images/56.1.png;images/56.2.png;images/56.3.png","images/56.png","0x31752f001f8f02c7:0x701ab00a926d58fe","ngọt, đắng"
"Trà sữa thế giới","758 Nguyễn Trãi, Phường 11, Quận 5, Thành phố Hồ Chí Minh, Việt Nam","","4.6","Đang mở cửa ⋅ Đóng cửa lúc 21:01","10.75315","106.6596144","1-100.000 ₫","images/57.1.png;images/57.2.png","images/57.png","0x31752f7501d11797:0x29c8f758903ab808","ngọt, đắng"
"Trà sữa Toco Toco Phạm Thế Hiển","697 Phạm Thế Hiển, Phường 4, Quận 8, Thành phố Hồ Chí Minh, Việt Nam","+84 1900 636936","4.0","Đang mở cửa ⋅ Đóng cửa lúc 23:00","10.7448559","106.6758197","1-100.000 ₫","images/58.1.png;images/58.2.png","images/58.png","0x31752f8ea073dbf9:0x361579199548d97b","ngọt, đắng"
"RONG (Chu Choa) - Trà Sữa - Ăn Vặt","372 Lý Thái Tổ, Phường 10, Quận 10, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 777 988 839","5.0","Sắp mở ⋅ 20:11","10.7680188","106.6740778","1-100.000 ₫","images/59.1.png;images/59.2.png","images/59.png","0x31752f4fba2b8567:0xde981978b5cd23c7","ngọt, đắng"
"Cơm tấm @ 2 SÀI GÒN","48 Đ. Trịnh Văn Cấn, P, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 983 774 637","4.9","Sắp đóng cửa ⋅ 14:00 ⋅ Mở cửa lại vào 16:30","10.767293","106.696177","1-100.000 ₫","images/60.1.png;images/60.2.png;images/60.3.png","images/60.png","0x31752569085cf947:0x9b7200a292b41c7","mặn"
"TIỆM CƠM 67 TẤM - Vo Van Tan","99/1B Võ Văn Tần, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","+84 772 996 767","4.6","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7759144","106.6903906","1-100.000 ₫","images/61.1.png;images/61.2.png;images/61.3.png","images/61.png","0x31752f3971e314ef:0x78138e2fe4e745dd","không xác định"
"Cơm Tấm Dì Út","55/8Bis Trần Đình Xu, Cầu Kho, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","+84 933 331 221","4.5","Đang mở cửa ⋅ Đóng cửa lúc 20:30","10.7605045","106.6904542","1-100.000 ₫","images/62.1.png;images/62.2.png;images/62.3.png","images/62.png","0x31752f74b75f363d:0xe703a1c7463f268e","mặn"
"Cơm Tấm 32D1","32Bis Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam","+84 938 899 445","4.7","Đang mở cửa ⋅ Đóng cửa lúc 19:30","10.761002","106.692766","1-100.000 ₫","images/63.1.png;images/63.2.png","images/63.png","0x31752ff77dc3767b:0x6c2088cda55173ba","mặn"
"Cơm tấm Đề Thám","269 Đề Thám, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","+84 933 937 335","4.5","Đang mở cửa ⋅ Đóng cửa lúc 4:00","10.7683809","106.6933654","1-100.000 ₫","images/64.1.png;images/64.2.png;images/64.3.png","images/64.png","0x31752fc4b07ba49d:0xa571105058415d9","mặn"
"Cơm tấm Chị Hằng - CN Quận 1","28 Đỗ Quang Đẩu, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","+84 937 353 388","4.3","Đang mở cửa ⋅ Đóng cửa lúc 1:30","10.7669508","106.6909285","1-100.000 ₫","images/65.1.png;images/65.2.png;images/65.3.png","images/65.png","0x31752faf236547ef:0x7dbb32100ec46825","mặn"
"Cơm tấm 3 Cô","137 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","+84 904 611 244","4.6","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.762735","106.687724","1-100.000 ₫","images/66.1.png;images/66.2.png","images/66.png","0x31752f8419f4bcfb:0x7f0fa38b2793d62f","mặn"
"Cơm Tấm Sườn Xoắn","98 Nguyễn Đình Chiểu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 934 155 964","4.6","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7871038","106.6980996","1-100.000 ₫","images/67.1.png;images/67.2.png;images/67.3.png;images/67.4.png","images/67.png","0x31752f06f4edb6c1:0xc64cc1f24447502b","mặn"
"Cơm tấm A Dũng","50 Cô Bắc, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam","+84 974 265 467","4.0","Đang mở cửa ⋅ Đóng cửa lúc 23:30","10.765424","106.695285","1-100.000 ₫","images/68.1.png;images/68.2.png;images/68.3.png","images/68.png","0x31752f8f5eae1f51:0x2d972c10b08f6456","mặn"
"Cơm tấm Mai","129 Đoàn Văn Bơ, Phường 12, Quận 4, Thành phố Hồ Chí Minh, Việt Nam","","4.3","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7631279","106.7042723","1-100.000 ₫","images/69.1.png;images/69.2.png","images/69.png","0x31752f6a99502683:0xf4b1d1cabb7008cb","mặn"
"Cơm Tấm 250 Tân Định","250 Hai Bà Trưng, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam","+84 358 726 710","4.8","Đang mở cửa ⋅ Đóng cửa lúc 17:00","10.7886491","106.6911876","1-100.000 ₫","images/70.1.png;images/70.2.png","images/70.png","0x31752fec547c9a87:0x3e799d325f623fe9","mặn"
"Cơm Tấm Mộc","85 Lý Tự Trọng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","+84 28 3824 8561","3.7","Đang mở cửa ⋅ Đóng cửa lúc 21:00","10.7744862","106.697965","100-200 N ₫","images/71.1.png;images/71.2.png;images/71.3.png","images/71.png","0x31752f478a7ceb17:0xdcb87db311325ae8","mặn"
"Cơm Tấm Chị Hai","101 b Hoàng Sa, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam","+84 782 530 939","4.4","Đang mở cửa ⋅ Đóng cửa lúc 20:00","10.793108","106.6980694","1-100.000 ₫","images/72.1.png;images/72.2.png;images/72.3.png","images/72.png","0x3175291e20380c79:0x84c658423e4fc75","mặn"
